Buy Count;Raised;Total Tokens Issued
0;1200;2664147.896042048038886342
1;1400;5114084.731287291920707494
2;1600;7394430.33723511548820062
3;1800;9536177.754694511172220055
4;2000;11561892.828028995606502274
5;2200;13488610.94697000062955014
6;2400;15329566.914779406454639566
7;2600;17095285.675720289540818698
8;2800;18794300.814140649251415445
9;3000;20433645.227096028521642624
10;3200;22019196.496969954860083266
11;3400;23555926.328834755497214786
12;3600;25048084.74191858317798572
13;3800;26499338.735771039100540282
14;4000;27912878.472131819891369579
15;4200;29291499.815897847322553372
16;4400;30637669.366808167263487385
17;4600;31953576.318176249594532787
18;4800;33241174.264215915969142263
19;5000;34502215.239245398547946477
20;5200;35738277.683275129637156501
21;5400;36950789.608235019627644139
22;5600;38141047.934706403732784568
23;5800;39310234.7455703188998359
24;6000;40459431.036908460881347871
25;6200;41589628.42164863747196991
26;6400;42701739.14660205086777082
27;6600;43796604.710777816805802431
28;6800;44875003.316528577970843066
29;7000;45937656.341097528854152195
30;7200;46985233.981520842235809689
31;7400;48018360.198391657879388391
32;7600;49037617.062075105708153599
33;7800;50043548.587348016174373589
34;8000;51036664.128189811104374128
35;8200;52017441.392860588382317741
36;8400;52986329.129920748049949706
37;8600;53943749.528049081770008209
38;8800;54890100.366071821150469859
39;9000;55825756.944263639782739159
40;9200;56751073.823517596005205995
41;9400;57666386.395241281422424748
42;9600;58572012.301690632800648712
43;9800;59468252.7237962859236729
44;10000;60355393.55128551855755592
45;10200;61233706.447987245766720612
46;10400;62103449.823572398973006975
47;10600;62964869.721581694898164346
48;10800;63818200.632389783899398184
49;11000;64663666.238718130905520978
50;11200;65501480.10041311839420047
51;11400;66331846.284429488663234424
52;11600;67154959.945284613970119522
53;11800;67971007.860661345632025608
54;12000;68780168.926323876934654828
55;12200;69582614.614061656726932584
56;12400;70378509.395982037563802614
57;12600;71168011.138125515544861642
58;12800;71951271.466071729611536111
59;13000;72728436.104934392037235541
60;13200;73499645.195904368073935512
61;13400;74265033.591288227270965748
62;13600;75024731.129801330885799152
63;13800;75778862.893706954414493369
64;14000;76527549.449243531011147617
65;14200;77270907.071648643534161302
66;14400;78009047.95596898624734102
67;14600;78742080.414738508319068706
68;14800;79470109.0635109012087935
69;15000;80193234.995146245973653285
70;15200;80911555.943673898092450143
71;15400;81625166.438483596843566653
72;15600;82334157.94953350189650305
73;15800;83038619.024206642101838728
74;16000;83738635.416395459674108738
75;16200;84434290.208347173299399323
76;16400;85125663.925760059507083969
77;16600;85812834.646582014797479658
78;16800;86495878.103927514536476324
79;17000;87174867.783496976308418357
80;17200;87849875.015853252310008394
81;17400;88520969.063883238997339374
82;17600;89188217.205748154418344349
83;17800;89851684.81360367304446048
84;18000;90511435.428350626602245982
85;18200;91167530.83065820037266144
86;18400;91820031.108484319080435153
87;18600;92468994.721302082580738183
88;18800;93114478.561226551302703588
89;19000;93756538.011222779946474348
90;19200;94395227.000563651829654105
91;19400;95030598.057694682326950153
92;19600;95662702.36065245393712612
93;19800;96291589.785173641671389578
94;20000;96917308.950622616987262534
95;20200;97539907.263857319203151069
96;20400;98159430.961145398868345735
97;20600;98775925.148235516814560019
98;20800;99389433.838682079165682582
99;21000;99999999.990515560249500215
